query,detected_kind,intent,matched_title,reason,same_kind_candidates
Хочу статую Будды,statue,product,Статуя Будды,dynamic_product_match,Статуя 11-ликого Бодхисаттвы | Статуя 11-тиголового Бодхисаттвы | Статуя Авалокитешвары (Ченрезиг) | Статуя Авалокитешвары (Ченрезига) | Статуя Аволокитешвары | Статуя Амитаюса | Статуя Амитаюса | Статуя Белой Тары | Статуя Белой Тары | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы
Есть ваджра?,vajra,product,Серебряное гау с двойным дордже,dynamic_product_match,Серебряное гау с двойным дордже | Серебряное гау с двойным дордже | Серебряные серьги | Серебряные серьги
Покажи тханку,thangka,product,,store_request_without_match,
Нужна поющая чаша,bowl,product,,store_request_without_match,
Поход в Лапчи,,tour,,generic_tour_request,
Есть поездка в Непал?,,tour,,generic_tour_request,
Хочу защитный амулет,amulet,product,,store_request_without_match,"Амулет с Буддой | Железный амулет ""Пхурба Дордже"" | Мелонг 5 см | Мелонг 6,3 см | Обсидиановый амулет ""Дзамбала"" | Обсидиановый амулет ""Манчжушри"" | Обсидиановый амулет ""Синий Будда"" | Обсидиановый амулет ""Черный Дракон"" | Серебряная подвеска ""8 благоприятных символов"" | Серебряная подвеска ""Бесконечный узел"" | Серебряная подвеска ""Бесконечный узел"" | Серебряная подвеска ""Двойной дордже"" | Серебряная подвеска ""Двойной дордже"" | Серебряная подвеска ""Дордже"" | Серебряная подвеска ""Картика"" | Серебряная подвеска ""Картикпурба"" | Цаца ""Махакала"" | Цаца ""Хеваджра"""
Статуя Зеленой Тары,statue,product,Статуя Зеленой Тары,dynamic_product_match,Статуя 11-ликого Бодхисаттвы | Статуя 11-тиголового Бодхисаттвы | Статуя Авалокитешвары (Ченрезиг) | Статуя Авалокитешвары (Ченрезига) | Статуя Аволокитешвары | Статуя Амитаюса | Статуя Амитаюса | Статуя Белой Тары | Статуя Белой Тары | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы
Амулет Ченрезига,amulet,product,,store_request_without_match,"Амулет с Буддой | Железный амулет ""Пхурба Дордже"" | Мелонг 5 см | Мелонг 6,3 см | Обсидиановый амулет ""Дзамбала"" | Обсидиановый амулет ""Манчжушри"" | Обсидиановый амулет ""Синий Будда"" | Обсидиановый амулет ""Черный Дракон"" | Серебряная подвеска ""8 благоприятных символов"" | Серебряная подвеска ""Бесконечный узел"" | Серебряная подвеска ""Бесконечный узел"" | Серебряная подвеска ""Двойной дордже"" | Серебряная подвеска ""Двойной дордже"" | Серебряная подвеска ""Дордже"" | Серебряная подвеска ""Картика"" | Серебряная подвеска ""Картикпурба"" | Цаца ""Махакала"" | Цаца ""Хеваджра"""
Есть велосипед?,,unknown,,no_safe_route,
стату будды,statue,product,Статуя Будды,dynamic_product_match,Статуя 11-ликого Бодхисаттвы | Статуя 11-тиголового Бодхисаттвы | Статуя Авалокитешвары (Ченрезиг) | Статуя Авалокитешвары (Ченрезига) | Статуя Аволокитешвары | Статуя Амитаюса | Статуя Амитаюса | Статуя Белой Тары | Статуя Белой Тары | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы | Статуя Бодхисаттвы
